
Detected numeric columns: ['advocacy_msg_type_illuminating', 'attack_msg_type_illuminating', 'bookmarkCount', 'covid_topic_illuminating', 'cta_msg_type_illuminating', 'economy_topic_illuminating', 'education_topic_illuminating', 'election_integrity_Truth_illuminating', 'engagement_cta_subtype_illuminating', 'environment_topic_illuminating', 'foreign_policy_topic_illuminating', 'fraud_illuminating', 'freefair_illuminating', 'fundraising_cta_subtype_illuminating', 'governance_topic_illuminating', 'health_topic_illuminating', 'image_msg_type_illuminating', 'immigration_topic_illuminating', 'inReplyToId', 'incivility_illuminating', 'issue_msg_type_illuminating', 'lgbtq_issues_topic_illuminating', 'likeCount', 'military_topic_illuminating', 'quoteCount', 'quoteId', 'race_and_ethnicity_topic_illuminating', 'replyCount', 'retweetCount', 'safety_topic_illuminating', 'scam_illuminating', 'social_and_cultural_topic_illuminating', 'technology_and_privacy_topic_illuminating', 'viewCount', 'voting_cta_subtype_illuminating', 'womens_issue_topic_illuminating']

===== Descriptive Statistics for Entire Dataset =====
Column                                    | Count | Mean                   | Min                   | Max                    | Std                    | Unique | Most Frequent                                                               
------------------------------------------+-------+------------------------+-----------------------+------------------------+------------------------+--------+-----------------------------------------------------------------------------
id                                        | 27304 |                        |                       |                        |                        | 27304  | cc46051622b8a9c1b883a3bbf12c640b12ac1cbdc7f48a773b6cc2a65f03aa2d (Count: 1) 
url                                       | 27304 |                        |                       |                        |                        | 27304  | f70a206472e9deaf6e313297c1efb891729ced346a0aeb34e16935d78f74b937 (Count: 1) 
source                                    | 27304 |                        |                       |                        |                        | 14     | Twitter Web App (Count: 14930)                                              
retweetCount                              | 27304 | 1322.06                | 0.0                   | 144615.0               | 3404.94                |        |                                                                             
replyCount                                | 27304 | 1063.79                | 0.0                   | 121270.0               | 3174.92                |        |                                                                             
likeCount                                 | 27304 | 6913.69                | 0.0                   | 915221.0               | 21589.91               |        |                                                                             
quoteCount                                | 27304 | 128.08                 | 0.0                   | 123320.0               | 1131.51                |        |                                                                             
viewCount                                 | 27304 | 507084.73              | 5.0                   | 333502775.0            | 3212115.16             |        |                                                                             
createdAt                                 | 27304 |                        |                       |                        |                        | 27014  | 2023-10-06 04:55:21 (Count: 4)                                              
lang                                      | 27304 |                        |                       |                        |                        | 12     | en (Count: 27281)                                                           
bookmarkCount                             | 27304 | 136.21                 | 0.0                   | 42693.0                | 712.57                 |        |                                                                             
isReply                                   | 27304 |                        |                       |                        |                        | 2      | False (Count: 23930)                                                        
isRetweet                                 | 27304 |                        |                       |                        |                        | 1      | False (Count: 27304)                                                        
isQuote                                   | 27304 |                        |                       |                        |                        | 2      | False (Count: 24064)                                                        
isConversationControlled                  | 27304 |                        |                       |                        |                        | 2      | False (Count: 27296)                                                        
quoteId                                   | 3287  | 1.7642983966589504e+18 | 7.912639390153769e+17 | 1.8535761683325583e+18 | 6.8936377884959416e+16 |        |                                                                             
inReplyToId                               | 3345  | 1.7582857247419999e+18 | 1.2400673584227e+18   | 1.853530653414859e+18  | 4.360544623583901e+16  |        |                                                                             
month_year                                | 27304 |                        |                       |                        |                        | 15     | 2024-10 (Count: 3586)                                                       
illuminating_scored_message               | 27304 |                        |                       |                        |                        | 27136  | 36cb7d55fcf85362ca03f624c2f574f1f55f89db559b17da084df6e643afe5cd (Count: 21)
election_integrity_Truth_illuminating     | 26034 | 0.04                   | 0.0                   | 1.0                    | 0.19                   |        |                                                                             
advocacy_msg_type_illuminating            | 26034 | 0.56                   | 0.0                   | 1.0                    | 0.5                    |        |                                                                             
issue_msg_type_illuminating               | 26034 | 0.51                   | 0.0                   | 1.0                    | 0.5                    |        |                                                                             
attack_msg_type_illuminating              | 26034 | 0.31                   | 0.0                   | 1.0                    | 0.46                   |        |                                                                             
image_msg_type_illuminating               | 26034 | 0.23                   | 0.0                   | 1.0                    | 0.42                   |        |                                                                             
cta_msg_type_illuminating                 | 26034 | 0.11                   | 0.0                   | 1.0                    | 0.31                   |        |                                                                             
engagement_cta_subtype_illuminating       | 26034 | 0.07                   | 0.0                   | 1.0                    | 0.25                   |        |                                                                             
fundraising_cta_subtype_illuminating      | 26034 | 0.01                   | 0.0                   | 1.0                    | 0.09                   |        |                                                                             
voting_cta_subtype_illuminating           | 26034 | 0.02                   | 0.0                   | 1.0                    | 0.13                   |        |                                                                             
covid_topic_illuminating                  | 26034 | 0.01                   | 0.0                   | 1.0                    | 0.09                   |        |                                                                             
economy_topic_illuminating                | 26034 | 0.16                   | 0.0                   | 1.0                    | 0.37                   |        |                                                                             
education_topic_illuminating              | 26034 | 0.02                   | 0.0                   | 1.0                    | 0.13                   |        |                                                                             
environment_topic_illuminating            | 26034 | 0.03                   | 0.0                   | 1.0                    | 0.17                   |        |                                                                             
foreign_policy_topic_illuminating         | 26034 | 0.04                   | 0.0                   | 1.0                    | 0.2                    |        |                                                                             
governance_topic_illuminating             | 26034 | 0.02                   | 0.0                   | 1.0                    | 0.15                   |        |                                                                             
health_topic_illuminating                 | 26034 | 0.06                   | 0.0                   | 1.0                    | 0.23                   |        |                                                                             
immigration_topic_illuminating            | 26034 | 0.07                   | 0.0                   | 1.0                    | 0.25                   |        |                                                                             
lgbtq_issues_topic_illuminating           | 26034 | 0.0                    | 0.0                   | 1.0                    | 0.06                   |        |                                                                             
military_topic_illuminating               | 26034 | 0.01                   | 0.0                   | 1.0                    | 0.1                    |        |                                                                             
race_and_ethnicity_topic_illuminating     | 26034 | 0.02                   | 0.0                   | 1.0                    | 0.12                   |        |                                                                             
safety_topic_illuminating                 | 26034 | 0.04                   | 0.0                   | 1.0                    | 0.19                   |        |                                                                             
social_and_cultural_topic_illuminating    | 26034 | 0.05                   | 0.0                   | 1.0                    | 0.22                   |        |                                                                             
technology_and_privacy_topic_illuminating | 26034 | 0.0                    | 0.0                   | 1.0                    | 0.05                   |        |                                                                             
womens_issue_topic_illuminating           | 26034 | 0.02                   | 0.0                   | 1.0                    | 0.15                   |        |                                                                             
